,course_id,user_id,rating,Sentiment,course_difficulty
0,the-science-of-well-being,By Laura C,2,2,Mixed
1,the-science-of-well-being,By Tyson K,2,1,Mixed
2,the-science-of-well-being,By DULCEMARIA G S,2,0,Mixed
3,the-science-of-well-being,By Jonathan G,3,2,Mixed
4,the-science-of-well-being,By Liron S,3,2,Mixed
5,the-science-of-well-being,By Rosa I,3,2,Mixed
6,the-science-of-well-being,By Ann R,3,2,Mixed
7,the-science-of-well-being,By Joel F,3,2,Mixed
8,the-science-of-well-being,By Nube E L A S,3,1,Mixed
9,the-science-of-well-being,By KALPANA T,3,2,Mixed
10,the-science-of-well-being,By Meagan S,3,2,Mixed
11,the-science-of-well-being,By Ellen W,4,2,Mixed
12,the-science-of-well-being,By James K,4,0,Mixed
13,the-science-of-well-being,By Rachael A,4,2,Mixed
14,the-science-of-well-being,By Shannan C,4,2,Mixed
15,the-science-of-well-being,By Sergio P d S,4,2,Mixed
16,the-science-of-well-being,By Prakash M S,4,2,Mixed
17,the-science-of-well-being,By Erica F J,4,2,Mixed
18,the-science-of-well-being,By Pam R,4,2,Mixed
19,the-science-of-well-being,By Kate H,4,2,Mixed
20,the-science-of-well-being,By CARLOS M M,4,2,Mixed
21,the-science-of-well-being,By Ka M H ,4,2,Mixed
22,the-science-of-well-being,By Remko v K ,4,2,Mixed
23,the-science-of-well-being,By Robert,4,2,Mixed
24,the-science-of-well-being,By Charu S,4,2,Mixed
25,the-science-of-well-being,By Sebastian M ,4,2,Mixed
26,the-science-of-well-being,By Komal V,4,2,Mixed
27,the-science-of-well-being,By Antoaneta,4,1,Mixed
28,the-science-of-well-being,By ADITYA P,4,2,Mixed
29,the-science-of-well-being,By Arleen H,4,1,Mixed
30,the-science-of-well-being,By Leonardo R C,4,2,Mixed
31,the-science-of-well-being,By Chesay C,4,2,Mixed
32,the-science-of-well-being,By steve k,4,2,Mixed
33,the-science-of-well-being,By Nanjappa C ,4,2,Mixed
34,the-science-of-well-being,By Taghreed ,4,2,Mixed
35,the-science-of-well-being,By Friedhelm W,4,2,Mixed
36,the-science-of-well-being,By Kelly H,4,2,Mixed
37,the-science-of-well-being,By Aleš B,4,2,Mixed
38,the-science-of-well-being,By Ami A,4,2,Mixed
39,the-science-of-well-being,By Francis P,4,2,Mixed
40,the-science-of-well-being,By D. M v L,4,2,Mixed
41,the-science-of-well-being,By Dinesh N,4,2,Mixed
42,the-science-of-well-being,By Manuel I A A,4,1,Mixed
43,the-science-of-well-being,By Rebecca H,4,1,Mixed
44,the-science-of-well-being,By Brigitte V,4,2,Mixed
45,the-science-of-well-being,By Bradley B,4,2,Mixed
46,the-science-of-well-being,By Yovita I P,4,2,Mixed
47,the-science-of-well-being,By Caroline R,4,2,Mixed
48,the-science-of-well-being,By CARMEN N,4,2,Mixed
49,the-science-of-well-being,By Salim a,4,2,Mixed
50,the-science-of-well-being,By am,4,2,Mixed
51,the-science-of-well-being,By Hein H A,4,2,Mixed
52,the-science-of-well-being,By Gerald N ,4,2,Mixed
53,the-science-of-well-being,By Trent B,4,1,Mixed
54,the-science-of-well-being,By Amber D,4,2,Mixed
55,the-science-of-well-being,By Marcus M,4,2,Mixed
56,the-science-of-well-being,By Claudia B,4,2,Mixed
57,the-science-of-well-being,By Eva,4,2,Mixed
58,the-science-of-well-being,By Jennifer H,4,2,Mixed
59,the-science-of-well-being,By Louis T S,4,2,Mixed
60,the-science-of-well-being,By Vydianathan S,4,2,Mixed
61,the-science-of-well-being,By Nives G,4,2,Mixed
62,the-science-of-well-being,By Julie H,4,2,Mixed
63,the-science-of-well-being,By Tony H,4,2,Mixed
64,the-science-of-well-being,By Mayank K L,4,2,Mixed
65,the-science-of-well-being,By Amalia G,4,2,Mixed
66,the-science-of-well-being,By Alan L,4,2,Mixed
67,the-science-of-well-being,By Lori T,4,2,Mixed
68,the-science-of-well-being,By SATHYANARAYANA R,4,2,Mixed
69,the-science-of-well-being,By Natasha S P,4,2,Mixed
70,the-science-of-well-being,By Barbara J,4,2,Mixed
71,the-science-of-well-being,By Monica B S,4,2,Mixed
72,the-science-of-well-being,By Rutuja N,4,2,Mixed
73,the-science-of-well-being,By Devanshi p,4,1,Mixed
74,the-science-of-well-being,By Supakarn N,4,2,Mixed
75,the-science-of-well-being,By LIEW K Y,4,2,Mixed
76,the-science-of-well-being,By Lynn B,4,2,Mixed
77,the-science-of-well-being,By Elisabeth E,4,2,Mixed
78,the-science-of-well-being,By Adrienne ,4,2,Mixed
79,the-science-of-well-being,By MUTHU T M,4,2,Mixed
80,the-science-of-well-being,By RACHEL B,4,2,Mixed
81,the-science-of-well-being,By S B,4,2,Mixed
82,the-science-of-well-being,By LM L,4,1,Mixed
83,the-science-of-well-being,By Amanda N H,4,1,Mixed
84,the-science-of-well-being,By 19BBA082-SHALINI S B,4,2,Mixed
85,the-science-of-well-being,By Nawshad U A C,4,1,Mixed
86,the-science-of-well-being,By Akash D,4,2,Mixed
87,the-science-of-well-being,By Cimberley C G,4,2,Mixed
88,the-science-of-well-being,By Eduardo L,4,2,Mixed
89,the-science-of-well-being,By Jun-Ting Y,5,2,Mixed
90,the-science-of-well-being,By Vicki B,5,2,Mixed
91,the-science-of-well-being,By Bruce H,5,2,Mixed
92,the-science-of-well-being,By Anudeep ,5,2,Mixed
93,the-science-of-well-being,By Leslie B,5,2,Mixed
94,the-science-of-well-being,By Alyona,5,2,Mixed
95,the-science-of-well-being,By Sharon M,5,2,Mixed
96,the-science-of-well-being,By Maire M,5,2,Mixed
97,the-science-of-well-being,By Raybeth D M S,5,2,Mixed
98,the-science-of-well-being,By Sally M,5,2,Mixed
99,the-science-of-well-being,By Cheryl W,5,2,Mixed
100,the-science-of-well-being,By Clarence F,5,2,Mixed
101,the-science-of-well-being,By Permjit,5,2,Mixed
102,the-science-of-well-being,By Phyllis M,5,2,Mixed
103,the-science-of-well-being,By Branka V,5,2,Mixed
104,the-science-of-well-being,By Ilaria G M,5,2,Mixed
105,the-science-of-well-being,By Casandra A,5,2,Mixed
106,the-science-of-well-being,By Donna F G,5,2,Mixed
107,the-science-of-well-being,By Miguel D L,5,2,Mixed
108,the-science-of-well-being,By Roberta R,5,2,Mixed
109,the-science-of-well-being,By Connie S H,5,2,Mixed
110,the-science-of-well-being,By Sanae T G,5,2,Mixed
111,the-science-of-well-being,By Delma B,5,2,Mixed
112,the-science-of-well-being,By christina d,5,2,Mixed
113,the-science-of-well-being,By DiAnne P,5,2,Mixed
114,the-science-of-well-being,By Pamela C P,5,2,Mixed
115,the-science-of-well-being,By Denise B,5,2,Mixed
116,the-science-of-well-being,By Khalisah S,5,2,Mixed
117,the-science-of-well-being,By Jeanine P,5,2,Mixed
118,the-science-of-well-being,By Kay B,5,2,Mixed
119,the-science-of-well-being,By Fabiola R,5,2,Mixed
120,the-science-of-well-being,By Joe M,5,2,Mixed
121,the-science-of-well-being,By Stephanie R,5,2,Mixed
122,the-science-of-well-being,By Dawn S,5,2,Mixed
123,the-science-of-well-being,By Binh L,5,2,Mixed
124,the-science-of-well-being,By Kerstin,5,2,Mixed
125,the-science-of-well-being,By Hilla B,5,2,Mixed
126,the-science-of-well-being,By Corinne S,5,2,Mixed
127,the-science-of-well-being,By Kyriaki S,5,2,Mixed
128,the-science-of-well-being,By Yolande M,5,2,Mixed
129,the-science-of-well-being,By Racquel S,5,2,Mixed
130,the-science-of-well-being,By MARA L S P ,5,2,Mixed
131,the-science-of-well-being,By Amy,5,2,Mixed
132,the-science-of-well-being,By Christi L E,5,2,Mixed
133,the-science-of-well-being,By Aida L F,5,2,Mixed
134,the-science-of-well-being,By Emesh F,5,2,Mixed
135,the-science-of-well-being,By Taoufiq J,5,2,Mixed
136,the-science-of-well-being,By Cíntia M P S d M V,5,2,Mixed
137,the-science-of-well-being,By Tim B,5,2,Mixed
138,the-science-of-well-being,By Monika W,5,2,Mixed
139,the-science-of-well-being,By Juan M C S,5,2,Mixed
140,the-science-of-well-being,By Andra C,5,2,Mixed
141,the-science-of-well-being,By Pimchanok N,5,2,Mixed
142,the-science-of-well-being,By Dottie T ,5,2,Mixed
143,the-science-of-well-being,By Andrea S,5,2,Mixed
144,the-science-of-well-being,By Siqi H,5,2,Mixed
145,the-science-of-well-being,By Vandana S,5,2,Mixed
146,the-science-of-well-being,By Marguerite V,5,2,Mixed
147,the-science-of-well-being,By Esme A,5,2,Mixed
148,the-science-of-well-being,By Jeanne D ,5,2,Mixed
149,the-science-of-well-being,By Jess d B,5,2,Mixed
150,the-science-of-well-being,By Suzanne P,5,2,Mixed
151,the-science-of-well-being,By Margareth V R,5,2,Mixed
152,the-science-of-well-being,By mary B,5,2,Mixed
153,the-science-of-well-being,By Kris O,5,2,Mixed
154,the-science-of-well-being,By Sanjula ,5,2,Mixed
155,the-science-of-well-being,By Anna F,5,2,Mixed
156,the-science-of-well-being,By Aryan R J,5,2,Mixed
157,the-science-of-well-being,By Eleanor W,5,2,Mixed
158,the-science-of-well-being,By Joy C ,5,2,Mixed
159,the-science-of-well-being,By Joe M,5,2,Mixed
160,the-science-of-well-being,By Vivek K,5,2,Mixed
161,the-science-of-well-being,By Linda P,5,2,Mixed
162,the-science-of-well-being,By Fernanda,5,1,Mixed
163,the-science-of-well-being,By Katelynn,5,2,Mixed
164,the-science-of-well-being,By Iván G S I,5,1,Mixed
165,the-science-of-well-being,By Carl P N,5,2,Mixed
166,the-science-of-well-being,By Christine B H,5,2,Mixed
167,the-science-of-well-being,By Judy H,5,2,Mixed
168,the-science-of-well-being,By Patsie N,5,2,Mixed
169,the-science-of-well-being,By Dr L S,5,2,Mixed
170,the-science-of-well-being,By Anouk V E,5,2,Mixed
171,the-science-of-well-being,By LIVIA V B,5,1,Mixed
172,the-science-of-well-being,By Linda H,5,2,Mixed
173,the-science-of-well-being,By Jacqueline K,5,0,Mixed
174,the-science-of-well-being,By Dorothy B,5,2,Mixed
175,the-science-of-well-being,By Phuoc H A N,5,2,Mixed
176,the-science-of-well-being,By Christie G,5,2,Mixed
177,the-science-of-well-being,By Kathleen E,5,2,Mixed
178,the-science-of-well-being,By César N,5,2,Mixed
179,the-science-of-well-being,By Juanita L D A,5,2,Mixed
180,the-science-of-well-being,By Christa S,5,2,Mixed
